gamma,beta,expected_cut,approximation_ratio,top_measurement,top_probability
0.47123889803846897,0.47123889803846897,1.8747171219399346,0.9373585609699673,001,0.1562264268283279
0.47123889803846897,0.5497787143782138,1.7454406864453027,0.8727203432226514,001,0.14545339053710857
0.47123889803846897,0.6283185307179586,1.5770073871350963,0.7885036935675481,001,0.13141728226125807
0.47123889803846897,0.7068583470577035,1.3859046488896,0.6929523244448,000,0.15352383777759998
0.47123889803846897,0.7853981633974483,1.190838939219355,0.5954194696096775,000,0.20229026519516133
0.47123889803846897,0.8639379797371931,1.0109046488895999,0.5054523244447999,000,0.24727383777759998
0.47123889803846897,0.9424777960769379,0.8637149999137308,0.4318574999568654,000,0.28407125002156736
0.47123889803846897,1.0210176124166828,0.763677940664092,0.381838970332046,000,0.30908051483397697
0.47123889803846897,1.0995574287564276,0.7205857954992146,0.3602928977496073,000,0.3198535511251963
0.47123889803846897,1.1780972450961724,0.7386567238284669,0.36932836191423346,000,0.31533581904288327
0.47123889803846897,1.2566370614359172,0.81612181727942,0.40806090863971,000,0.295969545680145
0.47123889803846897,1.335176877775662,0.9453982527740521,0.47269912638702605,000,0.2636504368064869
0.47123889803846897,1.413716694115407,1.1138315520842585,0.5569157760421293,000,0.22154211197893534
0.47123889803846897,1.4922565104551517,1.3049342903297543,0.6524671451648771,000,0.1737664274175614
0.47123889803846897,1.5707963267948966,1.5,0.75,000,0.125
0.6283185307179586,0.0,1.5,0.75,000,0.125
0.6283185307179586,0.07853981633974483,1.7077373013061268,0.8538686506530634,001,0.14231144177551056
0.6283185307179586,0.15707963267948966,1.8697754915624205,0.9348877457812103,001,0.15581462429686843
0.6283185307179586,0.23561944901923448,1.9702531437201398,0.9851265718600699,001,0.16418776197667834
0.6283185307179586,0.3141592653589793,1.9993348051171185,0.9996674025585592,001,0.16661123375975992
0.6283185307179586,0.39269908169872414,1.9541737601119702,0.9770868800559851,001,0.1628478133426642
0.6283185307179586,0.47123889803846897,1.8391906864453027,0.9195953432226514,010,0.1532658905371086
0.6283185307179586,0.5497787143782138,1.6656409285017908,0.8328204642508954,001,0.13880341070848257
0.6283185307179586,0.6283185307179586,1.4505127457812104,0.7252563728906052,000,0.13737181355469735
0.6283185307179586,0.7068583470577035,1.214864383694439,0.6074321918472195,000,0.1962839040763903
0.6283185307179586,0.7853981633974483,0.9817627457812106,0.4908813728906053,000,0.25455931355469735
0.6283185307179586,0.8639379797371931,0.774025444475084,0.387012722237542,000,0.30649363888122894
0.6283185307179586,0.9424777960769379,0.6119872542187894,0.3059936271093947,000,0.34700318644530265
